ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Bevan,Docherty,NZL,1,00:20:53,00:00:00,00:00:00,00:00:00,00:00:00,1,01:56:46
Kris,Gemmell,NZL,2,00:20:53,00:00:00,00:00:00,00:00:00,00:00:00,2,01:56:53
Sebastien,Gacond,SUI,8,00:20:51,00:00:00,00:00:00,00:00:00,00:00:00,3,01:58:47
Tony,Dodds,NZL,20,00:20:50,00:00:00,00:00:00,00:00:00,00:00:00,4,02:00:41
Clayton,Fettell,AUS,32,00:20:51,00:00:00,01:05:38,00:00:00,00:34:20,5,02:00:48
Ruedi,Wild,SUI,7,00:21:14,00:00:00,01:08:25,00:00:00,00:31:27,6,02:01:07
Daniel,Torok,HUN,10,00:21:10,00:00:00,01:07:41,00:00:00,00:32:39,7,02:01:30
Joshua,Amberger,AUS,24,00:20:50,00:00:00,00:00:00,00:00:00,00:00:00,8,02:01:57
Adam,Carlton,AUS,11,00:21:25,00:00:00,01:08:08,00:00:00,00:32:46,9,02:02:21
Hideo,Fukui,JPN,16,00:21:52,00:00:00,01:08:25,00:00:00,00:32:28,10,02:02:45
Will,Curtayne,NZL,26,00:21:21,00:00:00,01:07:57,00:00:00,00:33:36,11,02:02:55
Martin,Van Barneveld,NZL,5,00:21:06,00:00:00,00:00:00,00:00:00,00:00:00,12,02:03:18
Liam,Scopes,NZL,19,00:23:12,00:00:00,01:08:49,00:00:00,00:31:35,13,02:03:36
Benjamin,Visser,NZL,22,00:00:00,00:00:00,00:00:00,00:00:00,00:33:45,14,02:04:00
Peter,Bajai,HUN,12,00:20:54,00:00:00,01:09:26,00:00:00,00:33:59,15,02:04:19
Sam,Walker,NZL,6,00:21:51,00:00:00,01:08:23,00:00:00,00:34:08,16,02:04:21
Ben,Yates,AUS,17,00:21:35,00:00:00,01:08:00,00:00:00,00:34:50,17,02:04:24
Bucky,Schafer,USA,21,00:21:57,00:00:00,01:08:18,00:00:00,00:34:41,18,02:04:56
James,Elvery,NZL,4,00:23:25,00:00:00,01:08:34,00:00:00,00:33:15,19,02:05:13
James,Upton,NZL,47,00:21:36,00:00:00,01:08:01,00:00:00,00:35:47,20,02:05:24
Stephen,Sheldrake,NZL,43,00:20:47,00:00:00,01:08:07,00:00:00,00:36:48,21,02:05:43
Andrew,Curtayne,NZL,45,00:21:58,00:00:00,01:08:15,00:00:00,00:35:50,22,02:06:02
Will,Green,NZL,23,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,23,02:06:33
Dylan,Mcneice,NZL,31,00:20:49,00:00:00,01:09:34,00:00:00,00:36:55,24,02:07:18
Hamish,Johnson,NZL,14,00:23:15,00:00:00,01:08:48,00:00:00,00:36:03,25,02:08:05
Callum,Millward,NZL,28,00:22:01,00:00:00,01:08:12,00:00:00,00:38:17,26,02:08:30
Samuel,Betten,AUS,30,00:21:56,00:00:00,01:12:23,00:00:00,00:34:13,27,02:08:32
Rob,Creasy,NZL,35,00:23:16,00:00:00,01:08:54,00:00:00,00:36:48,28,02:08:57
Lee,Greer,NZL,36,00:21:29,00:00:00,01:10:38,00:00:00,00:36:55,29,02:09:02
Haven,Barnes,USA,18,00:23:17,00:00:00,01:12:11,00:00:00,00:34:08,30,02:09:36
Caleb,Hill,NZL,37,00:22:16,00:00:00,01:09:53,00:00:00,00:37:55,31,02:10:05
Bobby,Douglas,NZL,41,00:21:55,00:00:00,01:11:24,00:00:00,00:36:52,32,02:10:11
Benjamin,Christophers,NZL,46,00:23:51,00:00:00,01:11:11,00:00:00,00:35:55,33,02:10:59
Tristan,Calwell,NZL,44,00:21:54,00:00:00,01:15:15,00:00:00,00:34:41,34,02:11:50
Andrew,Mackay,NZL,39,00:23:34,00:00:00,01:14:22,00:00:00,00:38:09,35,02:16:06
Richard,Campbell,NZL,38,00:23:27,00:00:00,01:14:29,00:00:00,00:38:44,36,02:16:41
James,Cotton,GBR,34,00:21:37,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Gareth,Halverson,AUS,33,00:20:52,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Thijs,Hubber,NZL,25,00:23:11,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Ben,Logan,NZL,42,00:21:33,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Marcin,Florek,POL,27,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Blair,Jordan,NZL,9,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Csaba,Kuttor,HUN,3,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Nathan,Richmond,NZL,15,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Filip,Szolowski,POL,29,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
