ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Michael,Raelert,GER,120,00:17:57,00:00:00,01:07:46,00:00:00,00:33:59,1,01:59:44
Claude,Eksteen,RSA,0,00:18:14,00:00:00,01:07:37,00:00:00,00:34:42,2,02:00:35
Kris,Gemmell,NZL,81,00:18:00,00:00:00,01:10:32,00:00:00,00:34:07,3,02:02:40
Franz,Hofer,AUT,88,00:18:08,00:00:00,01:10:26,00:00:00,00:34:29,4,02:03:05
Jan,Frodeno,GER,83,00:18:09,00:00:00,01:10:40,00:00:00,00:34:43,5,02:03:32
Thomas,Springer,AUT,102,00:18:42,00:00:00,01:09:50,00:00:00,00:35:21,6,02:03:55
Steffen,Justus,GER,85,00:18:10,00:00:00,01:10:59,00:00:00,00:35:17,7,02:04:27
Christian,Ritter,GER,125,00:17:56,00:00:00,01:08:54,00:00:00,00:37:59,8,02:04:50
Tim,Lange,GER,109,00:18:22,00:00:00,01:11:25,00:00:00,00:35:18,9,02:05:05
Marc,Widmer,SUI,124,00:18:46,00:00:00,01:10:25,00:00:00,00:36:04,10,02:05:16
Horst,Reichel,GER,172,00:18:19,00:00:00,01:12:23,00:00:00,00:35:04,11,02:05:46
Patrick,Lange,GER,107,00:18:41,00:00:00,01:11:09,00:00:00,00:36:05,12,02:05:56
Pavel,Simko,SVK,89,00:18:12,00:00:00,01:11:02,00:00:00,00:36:56,13,02:06:12
Daniel,Unger,GER,82,00:18:09,00:00:00,01:11:43,00:00:00,00:36:28,14,02:06:20
Oliver,Howton,GBR,116,00:18:05,00:00:00,01:12:01,00:00:00,00:36:16,15,02:06:23
Liam,Scopes,NZL,106,00:18:48,00:00:00,01:12:46,00:00:00,00:34:56,16,02:06:30
Felix,Schumann,GER,126,00:18:41,00:00:00,01:10:17,00:00:00,00:37:32,17,02:06:32
Ivan,Tejero,ESP,122,00:18:03,00:00:00,01:12:03,00:00:00,00:36:29,18,02:06:35
Christian,Otto,GER,168,00:18:06,00:00:00,01:11:34,00:00:00,00:37:00,19,02:06:41
Faris,Al-Sultan,GER,113,00:18:24,00:00:00,01:11:25,00:00:00,00:36:58,20,02:06:48
Mathias,Bergermann,GER,150,00:18:34,00:00:00,01:10:58,00:00:00,00:37:17,21,02:06:51
Hauke,Horstmann,GER,119,00:18:45,00:00:00,01:11:11,00:00:00,00:37:09,22,02:07:08
Simon,Jung,GER,158,00:18:18,00:00:00,01:11:59,00:00:00,00:36:53,23,02:07:11
Jan,Janour,CZE,93,00:18:14,00:00:00,01:11:07,00:00:00,00:37:55,24,02:07:18
Sebastian,Kienle,GER,0,00:20:23,00:00:00,01:11:07,00:00:00,00:35:50,25,02:07:21
Alexander,Schilling,GER,163,00:18:40,00:00:00,01:13:11,00:00:00,00:36:03,26,02:07:55
Sven,Weber,GER,145,00:18:42,00:00:00,01:11:43,00:00:00,00:37:34,27,02:08:01
