ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Andy,Potts,USA,3,00:16:44,00:00:36,01:00:41,00:00:21,00:32:16,1,01:50:36
Marko,Albert,EST,40,00:16:43,00:00:36,01:00:42,00:00:21,00:33:09,2,01:51:31
Tony,Moulai,FRA,6,00:17:21,00:00:38,01:02:05,00:00:20,00:31:41,3,01:52:04
Bevan,Docherty,NZL,4,00:17:26,00:00:38,01:02:05,00:00:20,00:31:57,4,01:52:25
Filip,Ospaly,CZE,5,00:17:12,00:00:37,01:02:17,00:00:24,00:32:16,5,01:52:43
Volodymyr,Polikarpenko,UKR,1,00:16:52,00:00:37,01:02:41,00:00:23,00:32:20,6,01:52:51
Brian,Fleischmann,USA,17,00:17:14,00:00:41,01:01:09,00:00:23,00:33:28,7,01:52:54
Cedric,Fleureton,FRA,12,00:17:43,00:00:33,01:02:25,00:00:20,00:32:13,8,01:53:13
Shane,Reed,NZL,16,00:17:19,00:00:41,01:02:09,00:00:23,00:32:47,9,01:53:19
Marek,Jaskolka,POL,9,00:17:55,00:00:35,01:02:14,00:00:21,00:32:25,10,01:53:30
Kris,Gemmell,NZL,2,00:17:02,00:00:38,01:03:05,00:00:21,00:32:35,11,01:53:39
Axel,Zeebroek,BEL,23,00:17:21,00:00:48,01:01:58,00:00:24,00:33:18,12,01:53:46
Jose,Tovar,ESP,22,00:18:04,00:00:38,01:02:03,00:00:24,00:32:42,13,01:53:49
Csaba,Kuttor,HUN,26,00:17:19,00:00:39,01:01:55,00:00:28,00:33:28,14,01:53:50
Nathan,Campbell,AUS,43,00:17:57,00:00:41,01:02:05,00:00:25,00:32:45,15,01:53:52
Samuel,Pierreclaud,FRA,8,00:17:55,00:00:38,01:02:10,00:00:25,00:32:46,16,01:53:54
Dirk,Bockel,LUX,27,00:17:29,00:00:37,01:02:02,00:00:21,00:33:35,17,01:54:03
Gavin,Noble,IRL,42,00:17:19,00:00:36,01:02:13,00:00:21,00:33:42,18,01:54:09
Dan,Alterman,ISR,25,00:17:21,00:00:41,01:02:06,00:00:26,00:33:42,19,01:54:14
Hideo,Fukui,JPN,55,00:17:18,00:00:36,01:02:15,00:00:27,00:33:40,20,01:54:15
Martin,Van Barneveld,NZL,48,00:17:57,00:00:39,01:02:08,00:00:23,00:33:09,21,01:54:16
Andrea,D'Aquino,ITA,24,00:17:19,00:00:39,01:02:10,00:00:27,00:33:42,22,01:54:16
Timothy,O'Donnell,USA,36,00:17:18,00:00:40,01:01:57,00:00:25,00:34:06,23,01:54:24
Doug,Friman,USA,10,00:17:33,00:00:36,01:02:02,00:00:25,00:34:01,24,01:54:35
Franz,Hofer,AUT,18,00:17:53,00:00:39,01:02:12,00:00:30,00:33:47,25,01:55:01
Peter,Bajai,HUN,45,00:17:53,00:00:38,01:02:15,00:00:28,00:34:07,26,01:55:18
Ran,Alterman,ISR,35,00:17:55,00:00:40,01:02:12,00:00:28,00:34:10,27,01:55:24
Francisco,Serrano,MEX,30,00:18:02,00:00:39,01:02:03,00:00:24,00:34:24,28,01:55:31
Omar,Tayara,SYR,47,00:17:15,00:00:41,01:02:10,00:00:25,00:35:07,29,01:55:39
Frederik,Van Lierde,BEL,33,00:17:57,00:00:41,01:02:08,00:00:24,00:34:37,30,01:55:45
Matthew,Reed,USA,15,00:17:22,00:00:41,01:01:03,00:00:23,00:36:34,31,01:56:01
Sam,Walker,NZL,28,00:17:55,00:00:39,01:02:13,00:00:23,00:35:17,32,01:56:23
James,Elvery,NZL,53,00:17:55,00:00:38,01:02:09,00:00:21,00:35:52,33,01:56:53
Simon,Agoston,AUT,32,00:17:24,00:00:46,01:02:38,00:00:26,00:36:05,34,01:57:15
Hiroyuki,Nishiuchi,JPN,31,00:18:06,00:00:50,01:05:48,00:00:21,00:33:28,35,01:58:32
Hiroki,Sugimoto,JPN,41,00:18:14,00:00:41,01:05:48,00:00:25,00:33:35,36,01:58:44
Blair,Jordan,NZL,52,00:17:57,00:00:46,01:05:59,00:00:24,00:33:55,37,01:59:00
Joe,Umphenour,USA,11,00:17:19,00:00:48,01:02:39,00:00:21,00:37:53,38,01:59:00
Dmitry,Polyanskiy,RUS,50,00:17:25,00:00:43,01:06:31,00:00:23,00:34:12,39,01:59:14
Aaron,Farlow,AUS,44,00:18:11,00:00:41,01:05:52,00:00:24,00:34:13,40,01:59:19
Yulian,Malyshev,RUS,49,00:17:53,00:00:41,01:08:54,00:00:26,00:31:29,41,01:59:22
Arturo,Garza,MEX,29,00:18:06,00:00:45,01:05:53,00:00:32,00:34:33,42,01:59:48
Akos,Vanek,HUN,56,00:18:03,00:00:41,01:06:03,00:00:31,00:36:56,43,02:02:12
Ben,Pulham,NZL,37,00:18:20,00:00:39,01:05:46,00:00:25,00:37:03,44,02:02:12
Greg,Bennett,USA,34,00:17:56,00:00:41,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Bas,Diederen,NED,21,00:17:12,00:00:39,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Nick,Hornman,AUS,46,00:18:07,00:00:37,01:06:04,00:00:20,00:00:00,DNF,00:00:00
Derek,Kite,USA,0,00:18:56,00:00:35,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Paul,Matthews,AUS,57,00:17:33,00:00:33,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Ryosuke,Yamamoto,JPN,20,00:17:22,00:00:45,01:01:48,00:00:28,00:00:00,DNF,00:00:00
