ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Emma,Snowsill,AUS,0,00:20:31,00:00:00,01:08:03,00:00:00,00:34:23,1,02:02:58
Debbie,Tanner,NZL,0,00:20:31,00:00:00,01:07:57,00:00:00,00:34:50,2,02:03:19
Annabel,Luxford,AUS,0,00:20:29,00:00:00,01:08:01,00:00:00,00:35:42,3,02:04:11
Nicky,Samuels,NZL,0,00:20:31,00:00:00,01:08:00,00:00:00,00:36:05,4,02:04:36
Andrea,Hewitt,NZL,0,00:00:00,00:00:00,00:00:00,00:00:00,00:37:38,5,02:06:10
Lisa,Norden,SWE,0,00:21:02,00:00:00,01:08:17,00:00:00,00:36:58,6,02:06:16
Emma,Moffatt,AUS,0,00:23:12,00:00:00,01:07:00,00:00:00,00:36:20,7,02:06:32
Lauren,Groves,CAN,0,00:20:34,00:00:00,00:00:00,00:00:00,00:00:00,8,02:06:35
Alee,Sharp,AUS,0,00:21:16,00:00:00,01:08:55,00:00:00,00:37:06,9,02:07:16
Helen,Jenkins,GBR,0,00:20:32,00:00:00,01:09:47,00:00:00,00:37:38,10,02:07:57
Mirinda,Carfrae,AUS,0,00:22:05,00:00:00,01:10:38,00:00:00,00:35:51,11,02:08:34
Emma,Forward,AUS,0,00:00:00,00:00:00,00:00:00,00:00:00,00:39:17,12,02:11:57
Melissa,Trims,AUS,0,00:20:33,00:00:00,01:08:03,00:00:00,00:43:54,13,02:12:31
Gillian,Kornell,CAN,0,00:21:49,00:00:00,01:13:21,00:00:00,00:37:29,14,02:12:39
Rina,Hill,AUS,0,00:20:31,00:00:00,01:12:13,00:00:00,00:40:04,15,02:12:48
Angie,Sharp,AUS,0,00:20:59,00:00:00,01:11:42,00:00:00,00:40:09,16,02:12:51
Alison,Coyle,AUS,0,00:23:06,00:00:00,01:12:00,00:00:00,00:39:02,17,02:14:08
Brittany,Orr,AUS,0,00:23:13,00:00:00,01:11:55,00:00:00,00:39:49,18,02:14:56
Vanessa,Hentschel,AUS,0,00:21:13,00:00:00,01:13:51,00:00:00,00:41:49,19,02:16:53
Sarah,Groff,USA,0,00:20:33,00:00:00,01:14:34,00:00:00,00:42:46,20,02:17:53
Jenni,Tibbits,AUS,0,00:23:05,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Marion,Pyrlik,GER,0,00:25:24,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Katie,O'Keeffe,AUS,0,00:21:03,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Carmel,Hanly,NZL,0,00:22:08,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Suzanne,Weckend,CAN,0,00:20:30,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Erin,Densham,AUS,0,00:21:04,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Leesa,White,AUS,0,00:21:05,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Pip,Taylor,AUS,0,00:21:17,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Kerry,Lang,GBR,0,00:23:22,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Jill,Savege,CAN,0,00:20:29,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Catriona,Morrison,GBR,0,00:21:29,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
