ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Oscar,Vicente,ESP,18,0:08:08,00:00:00,0:35:09,00:00:00,0:16:55,1,1:00:12
Kristof,Kiraly,HUN,20,0:07:43,00:00:00,0:35:32,00:00:00,0:17:04,2,1:00:19
Gareth,Halverson,AUS,1,0:07:41,00:00:00,00:00:00,00:00:00,00:00:00,3,1:00:24
Brendan,Sexton,AUS,9,0:07:54,00:00:00,0:35:16,00:00:00,0:17:38,4,1:00:48
Joshua,Amberger,AUS,2,0:07:36,00:00:00,00:00:00,00:00:00,00:00:00,5,1:00:54
Ramon,Ejeda Medina,ESP,3,0:07:53,00:00:00,00:00:00,00:00:00,00:00:00,6,1:00:57
Igor,Polyanskiy,RUS,17,0:07:45,00:00:00,00:00:00,00:00:00,00:00:00,7,1:01:00
Shane,Barrie ,AUS,8,0:07:37,00:00:00,0:35:34,00:00:00,0:18:04,8,1:01:15
Bryan,Keane,IRL,6,0:08:01,00:00:00,00:00:00,00:00:00,00:00:00,9,1:01:17
Anton,Ruanova,ESP,14,0:07:42,00:00:00,00:00:00,00:00:00,00:00:00,10,1:01:19
Peter,Bajai,HUN,11,0:07:52,00:00:00,0:35:22,00:00:00,0:18:17,11,1:01:31
Marc-Yvan,De Kaenel,SUI,10,0:07:55,00:00:00,0:35:19,00:00:00,0:18:23,12,1:01:37
Andrea,Salvisberg,SUI,12,0:07:48,00:00:00,0:35:24,00:00:00,0:18:41,13,1:01:53
Mehdi,Essadiq,MAR,4,0:07:40,00:00:00,00:00:00,00:00:00,00:00:00,14,1:02:04
Brais,Canosa,ESP,34,0:08:26,00:00:00,0:36:39,00:00:00,0:18:00,15,1:03:05
Daniel ,Rodriguez,ESP,7,0:08:14,00:00:00,0:36:50,00:00:00,0:18:54,16,1:03:58
Rayco,Marrero Avero,ESP,29,0:08:30,00:00:00,0:36:34,00:00:00,0:19:21,17,1:04:25
Matthias,Annaheim,SUI,23,0:08:23,00:00:00,0:38:00,00:00:00,0:18:50,18,1:05:13
Raul,Lecuona,ESP,35,0:08:04,00:00:00,0:37:02,00:00:00,0:20:23,19,1:05:29
Manuel,Kueng,SUI,24,0:07:54,00:00:00,0:38:36,00:00:00,0:19:53,20,1:06:23
Omar,Nour,EGY,38,0:09:12,00:00:00,0:37:43,00:00:00,0:19:29,21,1:06:24
Valery,De Falbaire,MRI,19,0:07:50,00:00:00,0:38:36,00:00:00,0:20:28,22,1:06:54
Miguel Angel,Duque,ESP,31,0:09:14,00:00:00,0:37:12,00:00:00,0:21:09,23,1:07:35
Tabji,Mohamed,MAR,37,1:32:48,00:00:00,2:26:57,00:00:00,0:18:02,24,1:12:11
Hssina,El Qadi,MAR,27,0:14:55,00:00:00,0:40:29,00:00:00,0:17:31,25,1:12:55
Adel,Masmoudi,TUN,32,0:16:27,00:00:00,0:44:13,00:00:00,0:12:55,26,1:13:35
Mehdi,Boukhal,MAR,39,0:14:40,00:00:00,0:43:10,00:00:00,0:17:08,27,1:14:58
Allam,Anass,MAR,28,0:16:42,00:00:00,00:00:00,00:00:00,00:00:00,DQ,00:00:00
