,,,,
Mohave OBA Imbalance Summary,,,,
,,,,
,,,,
Month,Measured,Scheduled,Imbalance,Cummulative
,,,,Imbalance
,,,,
1993-02-01 00:00:00,763374,760113,3261,
1993-03-01 00:00:00,785895,797881,-11986,-8725
1993-04-01 00:00:00,848803,841685,7118,-1607
1993-05-01 00:00:00,627621,624681,2940,1333
1993-06-01 00:00:00,1702929,1700123,2806,4139
1993-07-01 00:00:00,725749,725688,61,4200
1993-08-01 00:00:00,1111375,1089635,21740,25940
1993-09-01 00:00:00,913231,899147,14084,40024
1993-10-01 00:00:00,1850769,1842333,8436,48460
1993-11-01 00:00:00,623302,672786,-49484,-1024
1993-12-01 00:00:00,1578822,1571578,7244,6220
1994-01-01 00:00:00,2262825,2291693,-28868,-22648
1994-02-01 00:00:00,1732167,1731281,886,-21762
1994-03-01 00:00:00,1867157,1821035,46122,24360
1994-04-01 00:00:00,1533583,1558070,-24487,-127
1994-05-01 00:00:00,1347706,1350494,-2788,-2915
1994-06-01 00:00:00,1298517,1304715,-6198,-9113
1994-07-01 00:00:00,999107,990932,8175,-938
1994-08-01 00:00:00,1624150,1621667,2483,1545
1994-09-01 00:00:00,1685127,1688201,-3074,-1529
1994-10-01 00:00:00,1583399,1588267,-4868,-6397
1994-11-01 00:00:00,1910577,1837357,73220,66823
1994-12-01 00:00:00,1254636,1322427,-67791,-968
1995-01-01 00:00:00,1393509,1403306,-9797,-10765
1995-02-01 00:00:00,821547,803851,17696,6931
1995-03-01 00:00:00,966086,977906,-11820,-4889
1995-04-01 00:00:00,938008,948528,-10520,-15409
1995-05-01 00:00:00,746775,711988,34787,19378
1995-06-01 00:00:00,93834,51080,42754,62132
1995-07-01 00:00:00,84336,147250,-62914,-782
1995-08-01 00:00:00,257064,248835,8229,7447
1995-09-01 00:00:00,607338,663716,-56378,-48931
1995-10-01 00:00:00,83390,63161,20229,-28702
1995-11-01 00:00:00,167631,140000,27631,-1071
1995-12-01 00:00:00,182435,88676,93759,92688
1996-01-01 00:00:00,1224695,1264404,-39709,52979
1996-02-01 00:00:00,190686,217970,-27284,25695
1996-03-01 00:00:00,274063,294960,-20897,4798
1996-04-01 00:00:00,969396,1046960,-77564,-72766
1996-05-01 00:00:00,590845,516420,74425,1659
1996-06-01 00:00:00,0,0,0,1659
1996-07-01 00:00:00,192320,191240,1080,2739
1996-08-01 00:00:00,199868,194800,5068,7807
1996-09-01 00:00:00,108901,77994,30907,38714
1996-10-01 00:00:00,62630,95120,-32490,6224
1996-11-01 00:00:00,45252,57469,-12217,-5993
1996-12-01 00:00:00,1523576,1536668,-13092,-19085
1997-01-01 00:00:00,582116,559000,23116,4031
1997-02-01 00:00:00,19904,19000,904,4935
1997-03-01 00:00:00,1014889,1014313,576,5511
1997-04-01 00:00:00,221608,238000,-16392,-10881
1997-05-01 00:00:00,458801,458030,771,-10110
1997-06-01 00:00:00,706722,715200,-8478,-18588
1997-07-01 00:00:00,769417,788119,-18702,-37290
1997-08-01 00:00:00,813798,778552,35246,-2044
1997-09-01 00:00:00,556117,600503,-44386,-46430
1997-10-01 00:00:00,503653,499710,3943,-42487
1997-11-01 00:00:00,645584,642525,3059,-39428
1997-12-01 00:00:00,812855,804629,8226,-31202
1998-01-01 00:00:00,1226131,1199108,27023,-4179
1998-02-01 00:00:00,883542,864984,18558,14379
1998-03-01 00:00:00,950234,934661,15573,29952
1998-04-01 00:00:00,936065,961019,-24954,4998
1998-05-01 00:00:00,655443,680238,-24795,-19797
1998-06-01 00:00:00,121104,110000,11104,-8693
1998-07-01 00:00:00,608916,638113,-29197,-37890
1998-08-01 00:00:00,197253,199273,-2020,-39910
1998-09-01 00:00:00,603400,584272,19128,-20782
1998-10-01 00:00:00,790567,803940,-13373,-34155
1998-11-01 00:00:00,805829,796998,8831,-25324
1998-12-01 00:00:00,1108304,1091587,16717,-8607
1999-01-01 00:00:00,1150713,1149000,1713,-6894
1999-02-01 00:00:00,684509,678464,6045,-849
1999-03-01 00:00:00,623926,615000,8926,8077
1999-04-01 00:00:00,670674,665164,5510,13587
1999-05-01 00:00:00,671991,653541,18450,32037
1999-06-01 00:00:00,592449,582845,9604,41641
1999-07-01 00:00:00,1151005,1154417,-3412,38229
1999-08-01 00:00:00,745667,745589,78,38307
1999-09-01 00:00:00,710418,712682,-2264,36043
1999-10-01 00:00:00,1006045,996472,9573,45616
1999-11-01 00:00:00,1247290,1228355,18935,64551
1999-12-01 00:00:00,1125418,1107981,17437,81988
2000-01-01 00:00:00,853068,842127,10941,92929
2000-02-01 00:00:00,822159,802000,20159,113088
2000-03-01 00:00:00,882119,912917,-30798,82290
2000-04-01 00:00:00,455389,521240,-65851,16439
2000-05-01 00:00:00,770885,762028,8857,25296
2000-06-01 00:00:00,617886,606534,11352,36648
2000-07-01 00:00:00,744657,623656,121001,157649
2000-08-01 00:00:00,1799638,1804821,-5183,152466
2000-09-01 00:00:00,1651187,1662566,-11379,141087
2000-10-01 00:00:00,1167795,1238634,-70839,70248
2000-11-01 00:00:00,866960,854874,12086,82334
2000-12-01 00:00:00,1178411,1186768,-8357,73977
2001-01-01 00:00:00,767278,779544,-12266,61711
2001-02-01 00:00:00,1114402,1136743,-22341,39370
2001-03-01 00:00:00,977210,1014433,-37223,2147
2001-04-01 00:00:00,565308,542655,22653,24800
2001-05-01 00:00:00,599883,622416,-22533,2267
2001-06-01 00:00:00,1159943,1030797,129146,131413
2001-07-01 00:00:00,1184168,1181460,2708,134121
2001-08-01 00:00:00,652841,637180,15661,149782
2001-09-01 00:00:00,607360,602371,4989,154771
2001-10-01 00:00:00,607111,596098,11013,165784
2001-11-01 00:00:00,613355,603887,9468,175252
2001-12-01 00:00:00,626413,616524,9889,185141
,,,,
,,,,186823
