ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Bevan,Docherty,NZL,10,00:18:47,00:01:20,01:03:21,00:00:18,00:30:44,1,01:54:29
Kris,Gemmell,NZL,9,00:18:45,00:01:17,01:03:21,00:00:17,00:30:54,2,01:54:31
Rasmus,Henning,DEN,24,00:18:32,00:01:26,01:03:34,00:00:20,00:30:44,3,01:54:34
Hunter,Kemper,USA,1,00:18:42,00:01:18,01:03:21,00:00:20,00:30:57,4,01:54:39
Brad,Kahlefeldt,AUS,3,00:18:46,00:01:26,01:03:13,00:00:17,00:31:12,5,01:54:54
Courtney,Atkinson,AUS,4,00:18:24,00:01:19,01:03:42,00:00:17,00:31:18,6,01:54:58
Tim,Don,GBR,2,00:18:41,00:01:21,01:03:27,00:00:16,00:31:16,7,01:54:59
Andy,Potts,USA,6,00:18:25,00:01:26,01:03:23,00:00:19,00:31:30,8,01:55:01
Volodymyr,Polikarpenko,UKR,7,00:18:30,00:01:25,01:03:39,00:00:19,00:31:42,9,01:55:33
Greg,Bennett,USA,16,00:18:47,00:01:21,01:02:57,00:00:19,00:32:13,10,01:55:36
Stuart,Hayes,GBR,12,00:18:41,00:01:23,01:03:21,00:00:18,00:32:02,11,01:55:46
Matthew,Reed,USA,5,00:18:49,00:01:25,01:03:16,00:00:20,00:32:06,12,01:55:55
Daniel,Unger,GER,31,00:18:49,00:01:21,01:03:21,00:00:20,00:32:08,13,01:55:58
Hendrik,De Villiers,RSA,20,00:18:34,00:01:27,01:03:24,00:00:18,00:32:19,14,01:56:00
Shane,Reed,NZL,8,00:18:42,00:01:27,01:03:13,00:00:19,00:32:37,15,01:56:18
Mark,Fretta,USA,15,00:18:46,00:01:29,01:03:16,00:00:21,00:32:44,16,01:56:36
Matt,Hopper,AUS,22,00:18:41,00:01:25,01:03:25,00:00:19,00:32:59,17,01:56:49
Sylvain,Dodet,FRA,27,00:19:03,00:01:20,01:03:01,00:00:24,00:33:11,18,01:56:58
Peter,Croes,BEL,21,00:19:36,00:01:30,01:02:20,00:00:20,00:33:24,19,01:57:12
Clark,Ellice,NZL,41,00:19:42,00:01:23,01:02:23,00:00:20,00:33:43,20,01:57:30
Paul,Amey,GBR,19,00:19:36,00:01:36,01:02:14,00:00:24,00:33:55,21,01:57:45
Joe,Umphenour,USA,11,00:18:46,00:01:31,01:03:13,00:00:20,00:34:07,22,01:57:57
Clemente,Alonso,ESP,43,00:18:52,00:01:30,01:03:13,00:00:24,00:34:10,23,01:58:09
Csaba,Kuttor,HUN,28,00:18:44,00:01:27,01:03:20,00:00:24,00:34:28,24,01:58:22
Arturo,Garza,MEX,23,00:19:03,00:01:27,01:02:59,00:00:20,00:34:38,25,01:58:26
Chris,Hill,AUS,29,00:19:33,00:01:36,01:01:59,00:00:18,00:35:04,26,01:58:29
Derek,Kite,USA,39,00:20:27,00:01:23,01:04:13,00:00:20,00:32:45,27,01:59:09
Liam,Scopes,NZL,46,00:20:23,00:01:31,01:04:12,00:00:21,00:32:46,28,01:59:14
Kyle,Jones,CAN,37,00:20:25,00:01:26,01:04:16,00:00:30,00:33:59,29,02:00:34
Hiroyuki,Nishiuchi,JPN,30,00:19:34,00:01:36,01:04:53,00:00:20,00:34:27,30,02:00:48
Gyula,Kis,HUN,51,00:19:53,00:01:34,01:04:39,00:00:26,00:34:28,31,02:00:59
Martin,Van Barneveld,NZL,42,00:19:44,00:01:31,01:04:53,00:00:19,00:34:52,32,02:01:18
James,Hedley,GBR,57,00:19:57,00:01:49,01:04:16,00:00:24,00:35:04,33,02:01:29
James,Loaring,CAN,45,00:19:42,00:01:26,01:04:58,00:00:21,00:35:23,34,02:01:50
Marko,Albert,EST,34,00:18:41,00:01:25,01:02:45,00:00:21,00:39:52,35,02:03:02
Bryan,Rhodes,NZL,44,00:19:42,00:01:31,01:04:54,00:00:20,00:37:00,36,02:03:26
Samuel,Mallard,NZL,53,00:20:27,00:01:29,01:04:09,00:00:24,00:37:51,37,02:04:20
Callum,Millward,NZL,56,00:20:32,00:01:33,01:07:37,00:00:23,00:35:47,38,02:05:50
Ben,Logan,NZL,52,00:19:04,00:01:36,01:05:31,00:00:20,00:41:34,39,02:08:05
Dylan,Mcneice,NZL,55,00:18:47,00:01:35,01:09:19,00:00:31,00:39:26,40,02:09:37
Harunobu,Sato,JPN,38,00:20:28,00:01:35,00:59:41,00:13:44,00:39:02,41,02:14:30
Raul,Cordoba,ESP,36,00:18:45,00:01:23,00:21:56,00:00:00,00:00:00,DNF,00:00:00
Marc,Decaul,GRN,48,00:23:26,00:01:37,00:36:25,00:00:00,00:00:00,DNF,00:00:00
David,Dellow,AUS,17,00:19:32,00:01:37,00:31:02,00:00:00,00:00:00,DNF,00:00:00
Sebastien,Gacond,SUI,50,00:19:32,00:01:30,01:02:12,00:00:00,00:00:00,DNF,00:00:00
Andriy,Glushchenko,UKR,35,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Nick,Hastie,CAN,40,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Iourie,Matuc,MDA,54,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Paulo,Miyashiro,BRA,32,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Bruno,Pais,POR,18,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Bryce,Quirk,AUS,14,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
Jarrod,Shoemaker,USA,25,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,00:00:00
