ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Sandra,Soldan,BRA,0,00:21:22,00:00:00,01:13:49,00:00:00,00:38:06,1,02:15:34
Gillian,Moody,CAN,0,00:22:12,00:00:00,01:16:16,00:00:00,00:39:15,2,02:19:50
Carolyn,Murray,CAN,0,00:23:08,00:00:00,01:17:22,00:00:00,00:39:06,3,02:21:54
Jennifer,Gutierrez,USA,0,00:21:27,00:00:00,01:15:58,00:00:00,00:44:24,4,02:24:03
Esther,Aguayo,MEX,0,00:22:11,00:00:00,01:18:17,00:00:00,00:43:27,5,02:26:22
Adara,Garcia,MEX,0,00:22:15,00:00:00,01:21:11,00:00:00,00:42:06,6,02:27:39
Thalia,Castillo,MEX,0,00:22:19,00:00:00,01:18:03,00:00:00,00:46:50,7,02:29:31
Giselle,Bertucci,BRA,0,00:22:13,00:00:00,01:21:28,00:00:00,00:43:44,8,02:29:58
Adriana Fabiola,Corona,MEX,0,00:23:54,00:00:00,01:20:19,00:00:00,00:44:45,9,02:32:16
Kelly,Rea,USA,0,00:21:33,00:00:00,01:18:29,00:00:00,00:51:30,10,02:32:42
Anastasia,Polito,CAN,0,00:23:09,00:00:00,01:21:34,00:00:00,00:46:02,11,02:33:37
Kim,Sorenson,CAN,0,00:22:08,00:00:00,01:21:08,00:00:00,00:49:20,12,02:35:22
Rachel,Joyce,CAN,0,00:22:22,00:00:00,01:20:48,00:00:00,00:51:19,13,02:36:53
Karina,Flores,MEX,0,00:26:13,00:00:00,01:19:07,00:00:00,00:49:01,14,02:37:11
Aide,Vidales,MEX,0,00:26:11,00:00:00,01:25:16,00:00:00,00:43:46,15,02:37:36
