ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Brad,Kahlefeldt,AUS,0,00:17:48,00:00:00,01:01:01,00:00:00,00:30:27,1,01:49:16
Bevan,Docherty,NZL,0,00:17:49,00:00:00,01:02:55,00:00:00,00:30:34,2,01:49:26
Peter,Robertson,AUS,0,00:17:51,00:00:00,01:01:03,00:00:00,00:30:38,3,01:49:31
Tim,Don,GBR,0,00:17:43,00:00:00,01:01:09,00:00:00,00:30:46,4,01:49:38
Kris,Gemmell,NZL,0,00:17:45,00:00:00,01:01:08,00:00:00,00:31:18,5,01:50:10
Hamish,Carter,NZL,0,00:17:50,00:00:00,01:01:02,00:00:00,00:31:43,6,01:50:35
William,Clarke,GBR,0,00:17:47,00:00:00,01:01:05,00:00:00,00:31:50,7,01:50:42
Paul,Tichelaar,CAN,0,00:17:43,00:00:00,01:01:07,00:00:00,00:32:01,8,01:50:51
Stuart,Hayes,GBR,0,00:17:48,00:00:00,01:01:03,00:00:00,00:32:01,10,01:50:53
Hendrik,De Villiers,RSA,0,00:17:51,00:00:00,01:01:01,00:00:00,00:32:01,9,01:50:53
Simon,Thompson,AUS,0,00:17:46,00:00:00,01:01:03,00:00:00,00:32:24,11,01:51:14
Brent,Mcmahon,CAN,0,00:17:50,00:00:00,01:00:59,00:00:00,00:33:00,12,01:51:50
Brad,Storm,RSA,0,00:17:52,00:00:00,01:01:01,00:00:00,00:33:42,13,01:52:35
Marc,Jenkins,GBR,0,00:17:53,00:00:00,01:01:01,00:00:00,00:34:46,14,01:53:39
Gavin,Noble,IRL,0,00:17:50,00:00:00,01:01:03,00:00:00,00:35:31,15,01:54:25
Colin,Jenkins,CAN,0,00:17:53,00:00:00,01:00:58,00:00:00,00:37:14,16,01:56:07
Brian,Campbell,IRL,0,00:18:13,00:00:00,01:06:18,00:00:00,00:35:03,17,01:59:34
Ian,Le Pelley,GBR,0,00:19:23,00:00:00,01:05:05,00:00:00,00:39:06,18,02:03:36
Timothy,Rogers,GBR,0,00:22:45,00:00:00,01:03:38,00:00:00,00:39:02,19,02:05:24
Damian,Thacker,GBR,0,00:20:53,00:00:00,01:04:43,00:00:00,00:40:08,20,02:05:43
Alan,Rowe,GBR,0,00:23:36,00:00:00,01:07:17,00:00:00,00:34:59,21,02:05:52
Scott,Pitcher,GBR,0,00:19:22,00:00:00,01:05:08,00:00:00,00:42:04,22,02:06:33
Paul,Clemens,GBR,0,00:19:36,00:00:00,01:04:57,00:00:00,00:42:25,23,02:06:57
Marc,Decaul,GRN,0,00:22:22,00:00:00,01:07:29,00:00:00,00:41:01,24,02:10:52
Cedric,Bathfield,MRI,0,00:22:05,00:00:00,01:07:49,00:00:00,00:42:29,25,02:12:22
Christopher,Symonds,GHA,0,00:22:57,00:00:00,01:11:46,00:00:00,00:39:58,26,02:14:41
Elliot,Mason,ANT,0,00:28:36,00:00:00,01:12:11,00:00:00,00:37:57,27,02:18:44
Michou,Bhageea,MRI,0,00:30:57,00:00:00,01:09:30,00:00:00,00:39:24,28,02:19:54
Stanley,Ofasisili,SOL,0,00:26:56,00:00:00,01:13:46,00:00:00,00:47:29,29,02:28:11
Marcus,Forau,SOL,0,00:31:21,00:00:00,01:15:17,00:00:00,00:47:18,30,02:33:55
Wilfred,Bosa,SOL,0,00:27:28,00:00:00,01:16:44,00:00:00,00:52:02,31,02:36:14
Thomas Edwin,Henderson,COK,0,00:23:17,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
